hex_pattern,replacement
\\xa2,¢
\\xa3,£
\\xa4,¤
\\xa5,¥
\\xa6,¦
\\xa7,§
\\xa8,¨
\\xa9,©
\\xaa,ª
\\xab,«
\\xac,¬
\\xad,­
\\xae,®
\\xaf,¯
\\xb0,°
\\xb1,±
\\xb2,²
\\xb3,³
\\xb4,´
\\xb5,µ
\\xb6,¶
\\xb7,·
\\xb8,¸
\\xb9,¹
\\xba,º
\\xbb,»
\\xbc,¼
\\xbd,½
\\xbe,¾
\\xbf,¿
\\xc0,À
\\xc1,Á
\\xc2,Â
\\xc3,Ã
\\xc4,Ä
\\xc5,Å
\\xc6,Æ
\\xc7,Ç
\\xc8,È
\\xc9,É
\\xca,Ê
\\xcb,Ë
\\xcc,Ì
\\xcd,Í
\\xce,Î
\\xcf,Ï
\\xd0,Ð
\\xd1,Ñ
\\xd2,Ò
\\xd3,Ó
\\xd4,Ô
\\xd5,Õ
\\xd6,Ö
\\xd7,×
\\xd8,Ø
\\xd9,Ù
\\xda,Ú
\\xdb,Û
\\xdc,Ü
\\xdd,Ý
\\xde,Þ
\\xdf,ß
\\xe0,à
\\xe1,á
\\xe2,â
\\xe3,ã
\\xe4,ä
\\xe5,å
\\xe6,æ
\\xe7,ç
\\xe8,è
\\xe9,é
\\xea,ê
\\xeb,ë
\\xec,ì
\\xed,í
\\xee,î
\\xef,ï
\\xf0,ð
\\xf1,ñ
\\xf2,ò
\\xf3,ó
\\xf4,ô
\\xf5,õ
\\xf6,ö
\\xf7,÷
\\xf8,ø
\\xf9,ù
\\xfa,ú
\\xfb,û
\\xfc,ü
\\xfd,ý
\\xfe,þ
\\xff,ÿ
